 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
      359.00000       87.00000       -0.08463
        1.00000       85.00000       -0.08634
        3.00000       85.00000       -0.08903
        5.00000       85.00000       -0.09151
        7.00000       85.00000       -0.09381
        9.00000       85.00000       -0.09592
       11.00000       85.00000       -0.09788
       13.00000       85.00000       -0.09967
       15.00000       85.00000       -0.10132
       17.00000       85.00000       -0.10283
       19.00000       85.00000       -0.10421
       21.00000       85.00000       -0.10546
       23.00000       85.00000       -0.10659
       25.00000       85.00000       -0.10761
       27.00000       85.00000       -0.10852
       29.00000       85.00000       -0.10933
       31.00000       85.00000       -0.11005
       33.00000       85.00000       -0.11069
       35.00000       85.00000       -0.11125
       37.00000       85.00000       -0.11173
       39.00000       85.00000       -0.11215
       41.00000       85.00000       -0.11252
       43.00000       85.00000       -0.11282
       45.00000       85.00000       -0.11308
       47.00000       85.00000       -0.11330
       49.00000       85.00000       -0.11348
       51.00000       85.00000       -0.11362
       53.00000       85.00000       -0.11373
       55.00000       85.00000       -0.11382
       57.00000       85.00000       -0.11388
       59.00000       85.00000       -0.11391
       61.00000       85.00000       -0.11393
       63.00000       85.00000       -0.11393
       65.00000       85.00000       -0.11392
       67.00000       85.00000       -0.11390
       69.00000       85.00000       -0.11386
       71.00000       85.00000       -0.11382
       73.00000       85.00000       -0.11378
       75.00000       85.00000       -0.11374
       77.00000       85.00000       -0.11369
       79.00000       85.00000       -0.11364
       81.00000       85.00000       -0.11360
       83.00000       85.00000       -0.11356
       85.00000       85.00000       -0.11353
       87.00000       85.00000       -0.11350
       89.00000       85.00000       -0.11347
       91.00000       85.00000       -0.11346
       93.00000       85.00000       -0.11345
       95.00000       85.00000       -0.11345
       97.00000       85.00000       -0.11346
       99.00000       85.00000       -0.11347
      101.00000       85.00000       -0.11350
      103.00000       85.00000       -0.11354
      105.00000       85.00000       -0.11360
      107.00000       85.00000       -0.11367
      109.00000       85.00000       -0.11376
      111.00000       85.00000       -0.11386
      113.00000       85.00000       -0.11398
      115.00000       85.00000       -0.11412
      117.00000       85.00000       -0.11428
      119.00000       85.00000       -0.11445
      121.00000       85.00000       -0.11464
      123.00000       85.00000       -0.11484
      125.00000       85.00000       -0.11505
      127.00000       85.00000       -0.11527
      129.00000       85.00000       -0.11549
      131.00000       85.00000       -0.11571
      133.00000       85.00000       -0.11593
      135.00000       85.00000       -0.11613
      137.00000       85.00000       -0.11632
      139.00000       85.00000       -0.11649
      141.00000       85.00000       -0.11664
      143.00000       85.00000       -0.11675
      145.00000       85.00000       -0.11682
      147.00000       85.00000       -0.11684
      149.00000       85.00000       -0.11681
      151.00000       85.00000       -0.11672
      153.00000       85.00000       -0.11656
      155.00000       85.00000       -0.11632
      157.00000       85.00000       -0.11600
      159.00000       85.00000       -0.11557
      161.00000       85.00000       -0.11503
      163.00000       85.00000       -0.11436
      165.00000       85.00000       -0.11356
      167.00000       85.00000       -0.11260
      169.00000       85.00000       -0.11147
      171.00000       85.00000       -0.11015
      173.00000       85.00000       -0.10862
      175.00000       85.00000       -0.10686
      177.00000       85.00000       -0.10484
      179.00000       85.00000       -0.10255
      181.00000       85.00000       -0.09994
      183.00000       85.00000       -0.09700
      185.00000       85.00000       -0.09368
      187.00000       85.00000       -0.08997
