 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lat (m)
# --------------------------------------------
      325.00000       87.00000        0.15194
      327.00000       87.00000        0.12888
      329.00000       87.00000        0.10798
      331.00000       87.00000        0.08919
      333.00000       87.00000        0.07243
      335.00000       87.00000        0.05760
      337.00000       87.00000        0.04459
      339.00000       87.00000        0.03328
      341.00000       87.00000        0.02353
      343.00000       87.00000        0.01522
      345.00000       87.00000        0.00821
      347.00000       87.00000        0.00238
      349.00000       87.00000       -0.00239
      351.00000       87.00000       -0.00621
      353.00000       87.00000       -0.00917
      355.00000       87.00000       -0.01137
      357.00000       87.00000       -0.01288
      359.00000       87.00000       -0.01376
        1.00000       85.00000       -0.01834
        3.00000       85.00000       -0.01502
        5.00000       85.00000       -0.01158
        7.00000       85.00000       -0.00793
        9.00000       85.00000       -0.00396
       11.00000       85.00000        0.00045
       13.00000       85.00000        0.00538
       15.00000       85.00000        0.01092
       17.00000       85.00000        0.01713
       19.00000       85.00000        0.02404
       21.00000       85.00000        0.03167
       23.00000       85.00000        0.04002
       25.00000       85.00000        0.04906
       27.00000       85.00000        0.05873
       29.00000       85.00000        0.06899
       31.00000       85.00000        0.07976
       33.00000       85.00000        0.09096
       35.00000       85.00000        0.10250
       37.00000       85.00000        0.11429
       39.00000       85.00000        0.12626
       41.00000       85.00000        0.13831
       43.00000       85.00000        0.15038
       45.00000       85.00000        0.16239
       47.00000       85.00000        0.17429
       49.00000       85.00000        0.18603
       51.00000       85.00000        0.19755
       53.00000       85.00000        0.20883
       55.00000       85.00000        0.21982
       57.00000       85.00000        0.23050
       59.00000       85.00000        0.24084
       61.00000       85.00000        0.25081
       63.00000       85.00000        0.26037
       65.00000       85.00000        0.26952
       67.00000       85.00000        0.27821
       69.00000       85.00000        0.28641
       71.00000       85.00000        0.29411
       73.00000       85.00000        0.30127
       75.00000       85.00000        0.30787
       77.00000       85.00000        0.31389
       79.00000       85.00000        0.31930
       81.00000       85.00000        0.32410
       83.00000       85.00000        0.32829
       85.00000       85.00000        0.33185
       87.00000       85.00000        0.33480
       89.00000       85.00000        0.33714
       91.00000       85.00000        0.33888
       93.00000       85.00000        0.34004
       95.00000       85.00000        0.34061
       97.00000       85.00000        0.34060
       99.00000       85.00000        0.34001
      101.00000       85.00000        0.33883
      103.00000       85.00000        0.33705
      105.00000       85.00000        0.33465
      107.00000       85.00000        0.33163
      109.00000       85.00000        0.32797
      111.00000       85.00000        0.32367
      113.00000       85.00000        0.31872
      115.00000       85.00000        0.31315
      117.00000       85.00000        0.30696
      119.00000       85.00000        0.30019
      121.00000       85.00000        0.29288
      123.00000       85.00000        0.28509
      125.00000       85.00000        0.27686
      127.00000       85.00000        0.26826
      129.00000       85.00000        0.25935
      131.00000       85.00000        0.25021
      133.00000       85.00000        0.24090
      135.00000       85.00000        0.23149
      137.00000       85.00000        0.22204
      139.00000       85.00000        0.21260
      141.00000       85.00000        0.20324
      143.00000       85.00000        0.19401
      145.00000       85.00000        0.18493
      147.00000       85.00000        0.17605
      149.00000       85.00000        0.16739
      151.00000       85.00000        0.15897
      153.00000       85.00000        0.15081
      155.00000       85.00000        0.14292
      157.00000       85.00000        0.13529
      159.00000       85.00000        0.12794
      161.00000       85.00000        0.12086
      163.00000       85.00000        0.11407
      165.00000       85.00000        0.10758
      167.00000       85.00000        0.10138
      169.00000       85.00000        0.09549
      171.00000       85.00000        0.08992
      173.00000       85.00000        0.08467
      175.00000       85.00000        0.07976
      177.00000       85.00000        0.07520
      179.00000       85.00000        0.07099
      181.00000       85.00000        0.06718
      183.00000       85.00000        0.06380
      185.00000       85.00000        0.06096
      187.00000       85.00000        0.05875
      189.00000       85.00000        0.05738
      191.00000       85.00000        0.05706
      193.00000       85.00000        0.05811
      195.00000       85.00000        0.06090
      197.00000       85.00000        0.06588
      199.00000       85.00000        0.07359
      201.00000       85.00000        0.08459
      203.00000       85.00000        0.09954
      205.00000       85.00000        0.11912
      207.00000       85.00000        0.14405
      209.00000       85.00000        0.17506
      211.00000       85.00000        0.21287
      213.00000       85.00000        0.25818
      215.00000       85.00000        0.31161
      217.00000       85.00000        0.37368
      219.00000       85.00000        0.44480
      221.00000       85.00000        0.52517
      223.00000       85.00000        0.61484
      225.00000       85.00000        0.71359
      227.00000       85.00000        0.82098
      229.00000       85.00000        0.93632
      231.00000       85.00000        1.05865
      233.00000       85.00000        1.18680
      235.00000       85.00000        1.31938
      237.00000       85.00000        1.45483
      239.00000       85.00000        1.59148
      241.00000       85.00000        1.72760
      243.00000       85.00000        1.86141
      245.00000       85.00000        1.99119
      247.00000       85.00000        2.11531
      249.00000       85.00000        2.23223
      251.00000       85.00000        2.34061
      253.00000       85.00000        2.43928
      255.00000       85.00000        2.52725
      257.00000       85.00000        2.60378
      259.00000       85.00000        2.66828
      261.00000       85.00000        2.72040
      263.00000       85.00000        2.75992
      265.00000       85.00000        2.78681
      267.00000       85.00000        2.80112
      269.00000       85.00000        2.80302
      271.00000       85.00000        2.79276
      273.00000       85.00000        2.77062
      275.00000       85.00000        2.73692
      277.00000       85.00000        2.69200
      279.00000       85.00000        2.63620
      281.00000       85.00000        2.56992
      283.00000       85.00000        2.49357
      285.00000       85.00000        2.40758
      287.00000       85.00000        2.31250
      289.00000       85.00000        2.20894
      291.00000       85.00000        2.09761
      293.00000       85.00000        1.97936
      295.00000       85.00000        1.85519
      297.00000       85.00000        1.72622
      299.00000       85.00000        1.59372
      301.00000       85.00000        1.45907
      303.00000       85.00000        1.32376
      305.00000       85.00000        1.18931
      307.00000       85.00000        1.05727
      309.00000       85.00000        0.92914
      311.00000       85.00000        0.80635
      313.00000       85.00000        0.69016
      315.00000       85.00000        0.58168
      317.00000       85.00000        0.48179
      319.00000       85.00000        0.39113
      321.00000       85.00000        0.31008
      323.00000       85.00000        0.23880
      325.00000       85.00000        0.17717
