 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
      241.00000       87.00000       -1.47603
      243.00000       87.00000       -1.41457
      245.00000       87.00000       -1.35265
      247.00000       87.00000       -1.29095
      249.00000       87.00000       -1.23013
      251.00000       87.00000       -1.17089
      253.00000       87.00000       -1.11388
      255.00000       87.00000       -1.05975
      257.00000       87.00000       -1.00910
      259.00000       87.00000       -0.96248
      261.00000       87.00000       -0.92040
      263.00000       87.00000       -0.88328
      265.00000       87.00000       -0.85151
      267.00000       87.00000       -0.82537
      269.00000       87.00000       -0.80507
      271.00000       87.00000       -0.79074
      273.00000       87.00000       -0.78242
      275.00000       87.00000       -0.78007
      277.00000       87.00000       -0.78359
      279.00000       87.00000       -0.79278
      281.00000       87.00000       -0.80737
      283.00000       87.00000       -0.82703
      285.00000       87.00000       -0.85137
      287.00000       87.00000       -0.87995
      289.00000       87.00000       -0.91228
      291.00000       87.00000       -0.94785
      293.00000       87.00000       -0.98611
      295.00000       87.00000       -1.02650
      297.00000       87.00000       -1.06845
      299.00000       87.00000       -1.11138
      301.00000       87.00000       -1.15475
      303.00000       87.00000       -1.19801
      305.00000       87.00000       -1.24064
      307.00000       87.00000       -1.28218
      309.00000       87.00000       -1.32216
      311.00000       87.00000       -1.36020
      313.00000       87.00000       -1.39594
      315.00000       87.00000       -1.42908
      317.00000       87.00000       -1.45938
      319.00000       87.00000       -1.48665
      321.00000       87.00000       -1.51077
      323.00000       87.00000       -1.53163
      325.00000       87.00000       -1.54924
      327.00000       87.00000       -1.56360
      329.00000       87.00000       -1.57479
      331.00000       87.00000       -1.58293
      333.00000       87.00000       -1.58817
      335.00000       87.00000       -1.59068
      337.00000       87.00000       -1.59068
      339.00000       87.00000       -1.58838
      341.00000       87.00000       -1.58404
      343.00000       87.00000       -1.57788
      345.00000       87.00000       -1.57016
      347.00000       87.00000       -1.56111
      349.00000       87.00000       -1.55095
      351.00000       87.00000       -1.53990
      353.00000       87.00000       -1.52816
      355.00000       87.00000       -1.51588
      357.00000       87.00000       -1.50322
      359.00000       87.00000       -1.49032
        1.00000       85.00000       -1.22059
        3.00000       85.00000       -1.20375
        5.00000       85.00000       -1.18867
        7.00000       85.00000       -1.17517
        9.00000       85.00000       -1.16299
       11.00000       85.00000       -1.15189
       13.00000       85.00000       -1.14161
       15.00000       85.00000       -1.13190
       17.00000       85.00000       -1.12257
       19.00000       85.00000       -1.11344
       21.00000       85.00000       -1.10436
       23.00000       85.00000       -1.09524
       25.00000       85.00000       -1.08601
       27.00000       85.00000       -1.07662
       29.00000       85.00000       -1.06705
       31.00000       85.00000       -1.05728
       33.00000       85.00000       -1.04734
       35.00000       85.00000       -1.03724
       37.00000       85.00000       -1.02699
       39.00000       85.00000       -1.01663
       41.00000       85.00000       -1.00617
       43.00000       85.00000       -0.99565
       45.00000       85.00000       -0.98508
       47.00000       85.00000       -0.97448
       49.00000       85.00000       -0.96387
       51.00000       85.00000       -0.95327
       53.00000       85.00000       -0.94267
       55.00000       85.00000       -0.93211
       57.00000       85.00000       -0.92159
       59.00000       85.00000       -0.91114
       61.00000       85.00000       -0.90077
       63.00000       85.00000       -0.89051
       65.00000       85.00000       -0.88041
       67.00000       85.00000       -0.87050
       69.00000       85.00000       -0.86082
       71.00000       85.00000       -0.85144
       73.00000       85.00000       -0.84239
       75.00000       85.00000       -0.83375
       77.00000       85.00000       -0.82555
       79.00000       85.00000       -0.81786
       81.00000       85.00000       -0.81070
       83.00000       85.00000       -0.80412
       85.00000       85.00000       -0.79814
       87.00000       85.00000       -0.79279
       89.00000       85.00000       -0.78807
       91.00000       85.00000       -0.78401
       93.00000       85.00000       -0.78062
       95.00000       85.00000       -0.77790
       97.00000       85.00000       -0.77590
       99.00000       85.00000       -0.77464
      101.00000       85.00000       -0.77416
      103.00000       85.00000       -0.77451
      105.00000       85.00000       -0.77574
      107.00000       85.00000       -0.77791
      109.00000       85.00000       -0.78107
      111.00000       85.00000       -0.78525
      113.00000       85.00000       -0.79050
      115.00000       85.00000       -0.79684
      117.00000       85.00000       -0.80426
      119.00000       85.00000       -0.81277
      121.00000       85.00000       -0.82233
      123.00000       85.00000       -0.83292
      125.00000       85.00000       -0.84449
      127.00000       85.00000       -0.85700
      129.00000       85.00000       -0.87040
      131.00000       85.00000       -0.88467
      133.00000       85.00000       -0.89978
      135.00000       85.00000       -0.91570
      137.00000       85.00000       -0.93245
      139.00000       85.00000       -0.95005
      141.00000       85.00000       -0.96853
      143.00000       85.00000       -0.98795
      145.00000       85.00000       -1.00839
      147.00000       85.00000       -1.02993
      149.00000       85.00000       -1.05269
      151.00000       85.00000       -1.07675
      153.00000       85.00000       -1.10224
      155.00000       85.00000       -1.12926
      157.00000       85.00000       -1.15791
      159.00000       85.00000       -1.18826
      161.00000       85.00000       -1.22040
      163.00000       85.00000       -1.25436
      165.00000       85.00000       -1.29018
      167.00000       85.00000       -1.32789
      169.00000       85.00000       -1.36747
      171.00000       85.00000       -1.40892
      173.00000       85.00000       -1.45220
      175.00000       85.00000       -1.49724
      177.00000       85.00000       -1.54393
      179.00000       85.00000       -1.59212
      181.00000       85.00000       -1.64155
      183.00000       85.00000       -1.69187
      185.00000       85.00000       -1.74261
      187.00000       85.00000       -1.79311
      189.00000       85.00000       -1.84254
      191.00000       85.00000       -1.88990
      193.00000       85.00000       -1.93393
      195.00000       85.00000       -1.97320
      197.00000       85.00000       -2.00609
      199.00000       85.00000       -2.03078
      201.00000       85.00000       -2.04532
      203.00000       85.00000       -2.04763
      205.00000       85.00000       -2.03556
      207.00000       85.00000       -2.00693
      209.00000       85.00000       -1.95955
      211.00000       85.00000       -1.89132
      213.00000       85.00000       -1.80025
      215.00000       85.00000       -1.68454
      217.00000       85.00000       -1.54264
      219.00000       85.00000       -1.37333
      221.00000       85.00000       -1.17582
      223.00000       85.00000       -0.94975
      225.00000       85.00000       -0.69535
      227.00000       85.00000       -0.41340
      229.00000       85.00000       -0.10533
      231.00000       85.00000        0.22681
      233.00000       85.00000        0.58035
      235.00000       85.00000        0.95202
