 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lon (m)
# --------------------------------------------
      211.00000       85.00000       -0.33596
      213.00000       85.00000       -0.40172
      215.00000       85.00000       -0.47061
      217.00000       85.00000       -0.54183
      219.00000       85.00000       -0.61438
      221.00000       85.00000       -0.68713
      223.00000       85.00000       -0.75878
      225.00000       85.00000       -0.82794
      227.00000       85.00000       -0.89315
      229.00000       85.00000       -0.95290
      231.00000       85.00000       -1.00574
      233.00000       85.00000       -1.05027
      235.00000       85.00000       -1.08525
      237.00000       85.00000       -1.10960
      239.00000       85.00000       -1.12247
      241.00000       85.00000       -1.12323
      243.00000       85.00000       -1.11153
      245.00000       85.00000       -1.08726
      247.00000       85.00000       -1.05057
      249.00000       85.00000       -1.00185
      251.00000       85.00000       -0.94170
      253.00000       85.00000       -0.87087
      255.00000       85.00000       -0.79028
      257.00000       85.00000       -0.70096
      259.00000       85.00000       -0.60401
      261.00000       85.00000       -0.50058
      263.00000       85.00000       -0.39185
      265.00000       85.00000       -0.27903
      267.00000       85.00000       -0.16332
      269.00000       85.00000       -0.04590
      271.00000       85.00000        0.07202
      273.00000       85.00000        0.18925
      275.00000       85.00000        0.30459
      277.00000       85.00000        0.41685
      279.00000       85.00000        0.52484
      281.00000       85.00000        0.62735
      283.00000       85.00000        0.72321
      285.00000       85.00000        0.81126
      287.00000       85.00000        0.89042
      289.00000       85.00000        0.95966
      291.00000       85.00000        1.01808
      293.00000       85.00000        1.06492
      295.00000       85.00000        1.09960
      297.00000       85.00000        1.12175
      299.00000       85.00000        1.13125
      301.00000       85.00000        1.12820
      303.00000       85.00000        1.11299
      305.00000       85.00000        1.08624
      307.00000       85.00000        1.04885
      309.00000       85.00000        1.00189
      311.00000       85.00000        0.94663
      313.00000       85.00000        0.88447
      315.00000       85.00000        0.81689
      317.00000       85.00000        0.74540
      319.00000       85.00000        0.67147
      321.00000       85.00000        0.59651
      323.00000       85.00000        0.52183
      325.00000       85.00000        0.44858
      327.00000       85.00000        0.37775
      329.00000       85.00000        0.31018
      331.00000       85.00000        0.24651
      333.00000       85.00000        0.18723
      335.00000       85.00000        0.13267
      337.00000       85.00000        0.08300
      339.00000       85.00000        0.03826
      341.00000       85.00000       -0.00162
      343.00000       85.00000       -0.03682
      345.00000       85.00000       -0.06759
      347.00000       85.00000       -0.09428
      349.00000       85.00000       -0.11726
      351.00000       85.00000       -0.13696
      353.00000       85.00000       -0.15381
      355.00000       85.00000       -0.16821
      357.00000       85.00000       -0.18056
      359.00000       85.00000       -0.19120
        1.00000       83.00000       -0.23002
        3.00000       83.00000       -0.23987
        5.00000       83.00000       -0.24888
        7.00000       83.00000       -0.25716
        9.00000       83.00000       -0.26478
       11.00000       83.00000       -0.27177
       13.00000       83.00000       -0.27818
       15.00000       83.00000       -0.28404
       17.00000       83.00000       -0.28937
       19.00000       83.00000       -0.29417
       21.00000       83.00000       -0.29843
       23.00000       83.00000       -0.30209
       25.00000       83.00000       -0.30509
       27.00000       83.00000       -0.30735
       29.00000       83.00000       -0.30877
       31.00000       83.00000       -0.30928
       33.00000       83.00000       -0.30882
       35.00000       83.00000       -0.30734
       37.00000       83.00000       -0.30481
       39.00000       83.00000       -0.30123
       41.00000       83.00000       -0.29660
       43.00000       83.00000       -0.29094
       45.00000       83.00000       -0.28428
       47.00000       83.00000       -0.27666
       49.00000       83.00000       -0.26812
       51.00000       83.00000       -0.25870
       53.00000       83.00000       -0.24845
       55.00000       83.00000       -0.23741
       57.00000       83.00000       -0.22565
       59.00000       83.00000       -0.21320
       61.00000       83.00000       -0.20012
       63.00000       83.00000       -0.18648
       65.00000       83.00000       -0.17233
       67.00000       83.00000       -0.15774
       69.00000       83.00000       -0.14276
       71.00000       83.00000       -0.12745
       73.00000       83.00000       -0.11187
       75.00000       83.00000       -0.09606
       77.00000       83.00000       -0.08006
       79.00000       83.00000       -0.06391
       81.00000       83.00000       -0.04765
       83.00000       83.00000       -0.03131
       85.00000       83.00000       -0.01493
       87.00000       83.00000        0.00146
       89.00000       83.00000        0.01779
       91.00000       83.00000        0.03403
       93.00000       83.00000        0.05012
       95.00000       83.00000        0.06603
       97.00000       83.00000        0.08171
       99.00000       83.00000        0.09712
      101.00000       83.00000        0.11223
      103.00000       83.00000        0.12700
      105.00000       83.00000        0.14141
      107.00000       83.00000        0.15541
      109.00000       83.00000        0.16896
      111.00000       83.00000        0.18202
      113.00000       83.00000        0.19454
      115.00000       83.00000        0.20648
      117.00000       83.00000        0.21779
      119.00000       83.00000        0.22845
      121.00000       83.00000        0.23841
      123.00000       83.00000        0.24766
      125.00000       83.00000        0.25616
      127.00000       83.00000        0.26389
      129.00000       83.00000        0.27083
      131.00000       83.00000        0.27696
      133.00000       83.00000        0.28225
      135.00000       83.00000        0.28668
      137.00000       83.00000        0.29022
      139.00000       83.00000        0.29283
      141.00000       83.00000        0.29451
      143.00000       83.00000        0.29524
      145.00000       83.00000        0.29500
      147.00000       83.00000        0.29381
      149.00000       83.00000        0.29171
      151.00000       83.00000        0.28873
      153.00000       83.00000        0.28495
      155.00000       83.00000        0.28044
      157.00000       83.00000        0.27531
      159.00000       83.00000        0.26962
      161.00000       83.00000        0.26347
      163.00000       83.00000        0.25690
      165.00000       83.00000        0.24995
      167.00000       83.00000        0.24260
      169.00000       83.00000        0.23485
      171.00000       83.00000        0.22665
      173.00000       83.00000        0.21797
      175.00000       83.00000        0.20876
      177.00000       83.00000        0.19896
      179.00000       83.00000        0.18844
      181.00000       83.00000        0.17702
      183.00000       83.00000        0.16436
      185.00000       83.00000        0.14996
      187.00000       83.00000        0.13308
      189.00000       83.00000        0.11280
      191.00000       83.00000        0.08798
      193.00000       83.00000        0.05734
      195.00000       83.00000        0.01949
      197.00000       83.00000       -0.02695
      199.00000       83.00000       -0.08335
      201.00000       83.00000       -0.15096
      203.00000       83.00000       -0.23088
      205.00000       83.00000       -0.32397
      207.00000       83.00000       -0.43075
      209.00000       83.00000       -0.55133
      211.00000       83.00000       -0.68522
