 ########################################
 #     RECTANGULAR load of type 50       
 #   degree,  order, & load (kg/m**2)    
  19   16 -.78008203E-20 -.44240650E-19
  19   17 -.23606746E-20 0.20653226E-21
  19   18 0.00000000E+00 0.59581275E-22
  19   19 0.94124817E-24 0.82348544E-25
  20    0 0.40245122E+03 0.00000000E+00
  20    1 0.84806891E+00 -.96934720E+01
  20    2 0.12115921E+01 0.21363637E+00
  20    3 0.51987289E-02 -.19401920E-01
  20    4 0.31986702E-03 0.11642207E-03
  20    5 -.18606980E-06 0.39902797E-06
  20    6 -.40382713E-06 -.23314970E-06
  20    7 0.86934700E-07 -.12415562E-06
  20    8 -.19590175E-07 -.16438109E-07
  20    9 -.98607907E-09 0.98607907E-09
  20   10 0.11954687E-10 0.14247041E-10
  20   11 -.16164432E-11 0.11318457E-11
  20   12 0.74790155E-13 0.12954035E-12
  20   13 0.50552208E-14 -.23572882E-14
  20   14 -.42565229E-16 -.11694701E-15
  20   15 -.10706234E-17 0.28687267E-18
  20   16 -.61587531E-20 -.34928025E-19
  20   17 -.18984678E-20 0.16609441E-21
  20   18 0.00000000E+00 0.48690092E-22
  20   19 0.78010303E-24 0.68250171E-25
  20   20 0.10506486E-26 -.59585245E-26
  21    0 0.35131195E+03 0.00000000E+00
  21    1 0.31452745E+01 -.35950652E+02
  21    2 0.84573134E+00 0.14912525E+00
  21    3 0.11638747E-01 -.43436395E-01
  21    4 -.36019808E-05 -.13110138E-05
  21    5 0.94738167E-06 -.20316665E-05
  21    6 0.67368090E-08 0.38894985E-08
  21    7 0.22199878E-07 -.31704712E-07
  21    8 -.84001152E-08 -.70485336E-08
  21    9 -.51905697E-09 0.51905697E-09
  21   10 0.70796961E-11 0.84372533E-11
  21   11 -.10354943E-11 0.72506090E-12
  21   12 0.50717912E-13 0.87846000E-13
  21   13 0.35809018E-14 -.16698019E-14
  21   14 -.31215849E-16 -.85764840E-16
  21   15 -.80778413E-18 0.21644510E-18
  21   16 -.47586141E-20 -.26987442E-19
  21   17 -.14968943E-20 0.13096128E-21
  21   18 0.00000000E+00 0.39069160E-22
  21   19 0.63561902E-24 0.55609459E-25
  21   20 0.86771642E-27 -.49210643E-26
  21   21 0.64735023E-28 0.17345697E-28
  22    0 0.80354931E+02 0.00000000E+00
  22    1 0.46131073E+01 -.52728057E+02
  22    2 -.76288776E-01 -.13451770E-01
  22    3 0.13482934E-01 -.50318996E-01
  22    4 -.54069211E-03 -.19679583E-03
  22    5 0.90020567E-06 -.19304973E-05
  22    6 0.42304169E-06 0.24424323E-06
  22    7 0.10965359E-07 -.15660156E-07
  22    8 -.31969334E-08 -.26825456E-08
  22    9 -.24947681E-09 0.24947681E-09
  22   10 0.39300164E-11 0.46836111E-11
  22   11 -.63156447E-12 0.44222620E-12
  22   12 0.33066494E-13 0.57272847E-13
  22   13 0.24545333E-14 -.11445677E-14
  22   14 -.22253664E-16 -.61141441E-16
  22   15 -.59445754E-18 0.15928442E-18
  22   16 -.35954396E-20 -.20390751E-19
  22   17 -.11564925E-20 0.10117998E-21
  22   18 0.00000000E+00 0.30768190E-22
  22   19 0.50898156E-24 0.44530117E-25
  22   20 0.70509847E-27 -.39988121E-26
  22   21 0.53292232E-28 0.14279610E-28
  22   22 0.94972702E-30 -.26093535E-29
  23    0 -.31184767E+03 0.00000000E+00
  23    1 0.44605954E+01 -.50984839E+02
  23    2 -.11098286E+01 -.19569273E+00
  23    3 0.10060041E-01 -.37544584E-01
  23    4 -.94760969E-03 -.34490172E-03
  23    5 0.10793434E-06 -.23146595E-06
  23    6 0.55788644E-06 0.32209589E-06
  23    7 0.17441720E-07 -.24909358E-07
  23    8 -.12997499E-08 -.10906197E-08
