 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
      153.00000       87.00000       -1.25568
      155.00000       87.00000       -1.27714
      157.00000       87.00000       -1.29951
      159.00000       87.00000       -1.32277
      161.00000       87.00000       -1.34692
      163.00000       87.00000       -1.37192
      165.00000       87.00000       -1.39777
      167.00000       87.00000       -1.42444
      169.00000       87.00000       -1.45188
      171.00000       87.00000       -1.48006
      173.00000       87.00000       -1.50891
      175.00000       87.00000       -1.53837
      177.00000       87.00000       -1.56834
      179.00000       87.00000       -1.59872
      181.00000       87.00000       -1.62939
      183.00000       87.00000       -1.66021
      185.00000       87.00000       -1.69100
      187.00000       87.00000       -1.72158
      189.00000       87.00000       -1.75173
      191.00000       87.00000       -1.78121
      193.00000       87.00000       -1.80977
      195.00000       87.00000       -1.83714
      197.00000       87.00000       -1.86301
      199.00000       87.00000       -1.88709
      201.00000       87.00000       -1.90908
      203.00000       87.00000       -1.92865
      205.00000       87.00000       -1.94551
      207.00000       87.00000       -1.95936
      209.00000       87.00000       -1.96993
      211.00000       87.00000       -1.97696
      213.00000       87.00000       -1.98024
      215.00000       87.00000       -1.97959
      217.00000       87.00000       -1.97485
      219.00000       87.00000       -1.96595
      221.00000       87.00000       -1.95283
      223.00000       87.00000       -1.93553
      225.00000       87.00000       -1.91410
      227.00000       87.00000       -1.88871
      229.00000       87.00000       -1.85953
      231.00000       87.00000       -1.82685
      233.00000       87.00000       -1.79099
      235.00000       87.00000       -1.75234
      237.00000       87.00000       -1.71133
      239.00000       87.00000       -1.66846
      241.00000       87.00000       -1.62426
      243.00000       87.00000       -1.57930
      245.00000       87.00000       -1.53418
      247.00000       87.00000       -1.48952
      249.00000       87.00000       -1.44592
      251.00000       87.00000       -1.40402
      253.00000       87.00000       -1.36442
      255.00000       87.00000       -1.32769
      257.00000       87.00000       -1.29439
      259.00000       87.00000       -1.26502
      261.00000       87.00000       -1.24003
      263.00000       87.00000       -1.21980
      265.00000       87.00000       -1.20466
      267.00000       87.00000       -1.19484
      269.00000       87.00000       -1.19052
      271.00000       87.00000       -1.19178
      273.00000       87.00000       -1.19861
      275.00000       87.00000       -1.21094
      277.00000       87.00000       -1.22860
      279.00000       87.00000       -1.25134
      281.00000       87.00000       -1.27885
      283.00000       87.00000       -1.31073
      285.00000       87.00000       -1.34654
      287.00000       87.00000       -1.38578
      289.00000       87.00000       -1.42789
      291.00000       87.00000       -1.47230
      293.00000       87.00000       -1.51839
      295.00000       87.00000       -1.56555
      297.00000       87.00000       -1.61315
      299.00000       87.00000       -1.66058
      301.00000       87.00000       -1.70724
      303.00000       87.00000       -1.75256
      305.00000       87.00000       -1.79600
      307.00000       87.00000       -1.83707
      309.00000       87.00000       -1.87533
      311.00000       87.00000       -1.91038
      313.00000       87.00000       -1.94191
      315.00000       87.00000       -1.96964
      317.00000       87.00000       -1.99338
      319.00000       87.00000       -2.01297
      321.00000       87.00000       -2.02833
      323.00000       87.00000       -2.03946
      325.00000       87.00000       -2.04638
      327.00000       87.00000       -2.04918
      329.00000       87.00000       -2.04800
      331.00000       87.00000       -2.04302
      333.00000       87.00000       -2.03445
      335.00000       87.00000       -2.02254
      337.00000       87.00000       -2.00756
      339.00000       87.00000       -1.98980
      341.00000       87.00000       -1.96955
      343.00000       87.00000       -1.94713
      345.00000       87.00000       -1.92283
      347.00000       87.00000       -1.89695
      349.00000       87.00000       -1.86978
      351.00000       87.00000       -1.84159
      353.00000       87.00000       -1.81262
      355.00000       87.00000       -1.78312
      357.00000       87.00000       -1.75329
      359.00000       87.00000       -1.72332
        1.00000       85.00000       -1.65538
        3.00000       85.00000       -1.60921
        5.00000       85.00000       -1.56433
        7.00000       85.00000       -1.52087
        9.00000       85.00000       -1.47892
       11.00000       85.00000       -1.43852
       13.00000       85.00000       -1.39972
       15.00000       85.00000       -1.36251
       17.00000       85.00000       -1.32689
       19.00000       85.00000       -1.29286
       21.00000       85.00000       -1.26037
       23.00000       85.00000       -1.22940
       25.00000       85.00000       -1.19989
       27.00000       85.00000       -1.17178
       29.00000       85.00000       -1.14498
       31.00000       85.00000       -1.11943
       33.00000       85.00000       -1.09503
       35.00000       85.00000       -1.07172
       37.00000       85.00000       -1.04940
       39.00000       85.00000       -1.02801
       41.00000       85.00000       -1.00750
       43.00000       85.00000       -0.98780
       45.00000       85.00000       -0.96888
       47.00000       85.00000       -0.95071
       49.00000       85.00000       -0.93326
       51.00000       85.00000       -0.91652
       53.00000       85.00000       -0.90048
       55.00000       85.00000       -0.88513
       57.00000       85.00000       -0.87046
       59.00000       85.00000       -0.85647
       61.00000       85.00000       -0.84316
       63.00000       85.00000       -0.83051
       65.00000       85.00000       -0.81854
       67.00000       85.00000       -0.80723
       69.00000       85.00000       -0.79658
       71.00000       85.00000       -0.78658
       73.00000       85.00000       -0.77724
       75.00000       85.00000       -0.76855
       77.00000       85.00000       -0.76051
       79.00000       85.00000       -0.75313
       81.00000       85.00000       -0.74641
       83.00000       85.00000       -0.74034
       85.00000       85.00000       -0.73494
       87.00000       85.00000       -0.73021
       89.00000       85.00000       -0.72614
       91.00000       85.00000       -0.72273
       93.00000       85.00000       -0.71999
       95.00000       85.00000       -0.71791
       97.00000       85.00000       -0.71649
       99.00000       85.00000       -0.71574
      101.00000       85.00000       -0.71565
      103.00000       85.00000       -0.71624
      105.00000       85.00000       -0.71751
      107.00000       85.00000       -0.71947
      109.00000       85.00000       -0.72214
      111.00000       85.00000       -0.72554
      113.00000       85.00000       -0.72967
      115.00000       85.00000       -0.73455
      117.00000       85.00000       -0.74019
      119.00000       85.00000       -0.74662
      121.00000       85.00000       -0.75383
      123.00000       85.00000       -0.76184
      125.00000       85.00000       -0.77067
      127.00000       85.00000       -0.78033
      129.00000       85.00000       -0.79084
      131.00000       85.00000       -0.80220
      133.00000       85.00000       -0.81446
      135.00000       85.00000       -0.82765
      137.00000       85.00000       -0.84180
      139.00000       85.00000       -0.85697
      141.00000       85.00000       -0.87322
      143.00000       85.00000       -0.89062
      145.00000       85.00000       -0.90926
      147.00000       85.00000       -0.92921
      149.00000       85.00000       -0.95057
      151.00000       85.00000       -0.97344
      153.00000       85.00000       -0.99792
      155.00000       85.00000       -1.02409
      157.00000       85.00000       -1.05203
      159.00000       85.00000       -1.08182
      161.00000       85.00000       -1.11350
      163.00000       85.00000       -1.14711
      165.00000       85.00000       -1.18269
      167.00000       85.00000       -1.22022
      169.00000       85.00000       -1.25971
      171.00000       85.00000       -1.30114
      173.00000       85.00000       -1.34445
      175.00000       85.00000       -1.38960
      177.00000       85.00000       -1.43646
      179.00000       85.00000       -1.48489
      181.00000       85.00000       -1.53465
      183.00000       85.00000       -1.58543
      185.00000       85.00000       -1.63675
      187.00000       85.00000       -1.68802
      189.00000       85.00000       -1.73846
      191.00000       85.00000       -1.78709
      193.00000       85.00000       -1.83276
      195.00000       85.00000       -1.87409
      197.00000       85.00000       -1.90953
      199.00000       85.00000       -1.93737
      201.00000       85.00000       -1.95574
      203.00000       85.00000       -1.96268
      205.00000       85.00000       -1.95615
      207.00000       85.00000       -1.93406
      209.00000       85.00000       -1.89437
      211.00000       85.00000       -1.83508
      213.00000       85.00000       -1.75433
      215.00000       85.00000       -1.65041
      217.00000       85.00000       -1.52190
      219.00000       85.00000       -1.36765
      221.00000       85.00000       -1.18694
      223.00000       85.00000       -0.97946
      225.00000       85.00000       -0.74542
      227.00000       85.00000       -0.48559
      229.00000       85.00000       -0.20131
      231.00000       85.00000        0.10550
      233.00000       85.00000        0.43233
      235.00000       85.00000        0.77617
      237.00000       85.00000        1.13348
      239.00000       85.00000        1.50035
      241.00000       85.00000        1.87255
      243.00000       85.00000        2.24562
      245.00000       85.00000        2.61500
      247.00000       85.00000        2.97612
      249.00000       85.00000        3.32447
      251.00000       85.00000        3.65575
      253.00000       85.00000        3.96586
      255.00000       85.00000        4.25107
      257.00000       85.00000        4.50795
      259.00000       85.00000        4.73351
      261.00000       85.00000        4.92515
      263.00000       85.00000        5.08070
      265.00000       85.00000        5.19845
      267.00000       85.00000        5.27709
      269.00000       85.00000        5.31577
      271.00000       85.00000        5.31406
      273.00000       85.00000        5.27194
      275.00000       85.00000        5.18986
      277.00000       85.00000        5.06865
      279.00000       85.00000        4.90961
      281.00000       85.00000        4.71446
      283.00000       85.00000        4.48535
      285.00000       85.00000        4.22488
      287.00000       85.00000        3.93606
      289.00000       85.00000        3.62229
      291.00000       85.00000        3.28734
      293.00000       85.00000        2.93527
      295.00000       85.00000        2.57042
      297.00000       85.00000        2.19727
      299.00000       85.00000        1.82041
      301.00000       85.00000        1.44441
      303.00000       85.00000        1.07370
      305.00000       85.00000        0.71253
      307.00000       85.00000        0.36481
      309.00000       85.00000        0.03404
      311.00000       85.00000       -0.27674
      313.00000       85.00000       -0.56503
      315.00000       85.00000       -0.82892
      317.00000       85.00000       -1.06705
      319.00000       85.00000       -1.27867
      321.00000       85.00000       -1.46355
      323.00000       85.00000       -1.62198
      325.00000       85.00000       -1.75469
      327.00000       85.00000       -1.86281
      329.00000       85.00000       -1.94777
      331.00000       85.00000       -2.01124
      333.00000       85.00000       -2.05508
      335.00000       85.00000       -2.08129
      337.00000       85.00000       -2.09191
      339.00000       85.00000       -2.08900
      341.00000       85.00000       -2.07460
      343.00000       85.00000       -2.05067
      345.00000       85.00000       -2.01905
      347.00000       85.00000       -1.98144
      349.00000       85.00000       -1.93939
      351.00000       85.00000       -1.89424
      353.00000       85.00000       -1.84713
      355.00000       85.00000       -1.79902
      357.00000       85.00000       -1.75066
      359.00000       85.00000       -1.70263
        1.00000       83.00000       -1.61670
        3.00000       83.00000       -1.56122
        5.00000       83.00000       -1.50851
        7.00000       83.00000       -1.45862
        9.00000       83.00000       -1.41151
       11.00000       83.00000       -1.36716
       13.00000       83.00000       -1.32545
       15.00000       83.00000       -1.28624
       17.00000       83.00000       -1.24932
       19.00000       83.00000       -1.21442
       21.00000       83.00000       -1.18127
       23.00000       83.00000       -1.14958
       25.00000       83.00000       -1.11908
       27.00000       83.00000       -1.08957
       29.00000       83.00000       -1.06086
       31.00000       83.00000       -1.03284
       33.00000       83.00000       -1.00545
       35.00000       83.00000       -0.97867
       37.00000       83.00000       -0.95249
       39.00000       83.00000       -0.92696
       41.00000       83.00000       -0.90209
       43.00000       83.00000       -0.87792
       45.00000       83.00000       -0.85448
       47.00000       83.00000       -0.83180
       49.00000       83.00000       -0.80989
       51.00000       83.00000       -0.78877
       53.00000       83.00000       -0.76845
       55.00000       83.00000       -0.74894
       57.00000       83.00000       -0.73026
       59.00000       83.00000       -0.71242
       61.00000       83.00000       -0.69544
       63.00000       83.00000       -0.67931
       65.00000       83.00000       -0.66405
       67.00000       83.00000       -0.64966
       69.00000       83.00000       -0.63612
       71.00000       83.00000       -0.62341
       73.00000       83.00000       -0.61152
       75.00000       83.00000       -0.60042
       77.00000       83.00000       -0.59009
       79.00000       83.00000       -0.58052
       81.00000       83.00000       -0.57169
       83.00000       83.00000       -0.56362
       85.00000       83.00000       -0.55630
