 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_lat (m)
# --------------------------------------------
      153.00000       85.00000        0.10946
      155.00000       85.00000        0.09763
      157.00000       85.00000        0.08606
      159.00000       85.00000        0.07476
      161.00000       85.00000        0.06374
      163.00000       85.00000        0.05303
      165.00000       85.00000        0.04263
      167.00000       85.00000        0.03256
      169.00000       85.00000        0.02285
      171.00000       85.00000        0.01350
      173.00000       85.00000        0.00454
      175.00000       85.00000       -0.00402
      177.00000       85.00000       -0.01216
      179.00000       85.00000       -0.01986
      181.00000       85.00000       -0.02707
      183.00000       85.00000       -0.03376
      185.00000       85.00000       -0.03981
      187.00000       85.00000       -0.04513
      189.00000       85.00000       -0.04951
      191.00000       85.00000       -0.05274
      193.00000       85.00000       -0.05450
      195.00000       85.00000       -0.05442
      197.00000       85.00000       -0.05207
      199.00000       85.00000       -0.04692
      201.00000       85.00000       -0.03840
      203.00000       85.00000       -0.02589
      205.00000       85.00000       -0.00872
      207.00000       85.00000        0.01382
      209.00000       85.00000        0.04244
      211.00000       85.00000        0.07783
      213.00000       85.00000        0.12066
      215.00000       85.00000        0.17152
      217.00000       85.00000        0.23093
      219.00000       85.00000        0.29924
      221.00000       85.00000        0.37667
      223.00000       85.00000        0.46323
      225.00000       85.00000        0.55871
      227.00000       85.00000        0.66269
      229.00000       85.00000        0.77449
      231.00000       85.00000        0.89319
      233.00000       85.00000        1.01769
      235.00000       85.00000        1.14665
      237.00000       85.00000        1.27863
      239.00000       85.00000        1.41206
      241.00000       85.00000        1.54533
      243.00000       85.00000        1.67679
      245.00000       85.00000        1.80488
      247.00000       85.00000        1.92807
      249.00000       85.00000        2.04498
      251.00000       85.00000        2.15438
      253.00000       85.00000        2.25516
      255.00000       85.00000        2.34642
      257.00000       85.00000        2.42739
      259.00000       85.00000        2.49748
      261.00000       85.00000        2.55623
      263.00000       85.00000        2.60330
      265.00000       85.00000        2.63845
      267.00000       85.00000        2.66153
      269.00000       85.00000        2.67244
      271.00000       85.00000        2.67114
      273.00000       85.00000        2.65765
      275.00000       85.00000        2.63201
      277.00000       85.00000        2.59434
      279.00000       85.00000        2.54480
      281.00000       85.00000        2.48364
      283.00000       85.00000        2.41123
      285.00000       85.00000        2.32802
      287.00000       85.00000        2.23464
      289.00000       85.00000        2.13185
      291.00000       85.00000        2.02058
      293.00000       85.00000        1.90192
      295.00000       85.00000        1.77714
      297.00000       85.00000        1.64762
      299.00000       85.00000        1.51489
      301.00000       85.00000        1.38054
      303.00000       85.00000        1.24619
      305.00000       85.00000        1.11347
      307.00000       85.00000        0.98396
      309.00000       85.00000        0.85910
      311.00000       85.00000        0.74022
      313.00000       85.00000        0.62842
      315.00000       85.00000        0.52463
      317.00000       85.00000        0.42950
      319.00000       85.00000        0.34348
      321.00000       85.00000        0.26677
      323.00000       85.00000        0.19933
      325.00000       85.00000        0.14096
      327.00000       85.00000        0.09129
      329.00000       85.00000        0.04978
      331.00000       85.00000        0.01585
      333.00000       85.00000       -0.01119
      335.00000       85.00000       -0.03205
      337.00000       85.00000       -0.04745
      339.00000       85.00000       -0.05811
      341.00000       85.00000       -0.06471
      343.00000       85.00000       -0.06789
      345.00000       85.00000       -0.06823
      347.00000       85.00000       -0.06627
      349.00000       85.00000       -0.06244
      351.00000       85.00000       -0.05713
      353.00000       85.00000       -0.05066
      355.00000       85.00000       -0.04326
      357.00000       85.00000       -0.03512
      359.00000       85.00000       -0.02637
        1.00000       83.00000       -0.03492
        3.00000       83.00000       -0.02288
        5.00000       83.00000       -0.01026
        7.00000       83.00000        0.00294
        9.00000       83.00000        0.01672
       11.00000       83.00000        0.03105
       13.00000       83.00000        0.04592
       15.00000       83.00000        0.06133
       17.00000       83.00000        0.07728
       19.00000       83.00000        0.09376
       21.00000       83.00000        0.11076
       23.00000       83.00000        0.12823
       25.00000       83.00000        0.14612
       27.00000       83.00000        0.16437
       29.00000       83.00000        0.18289
       31.00000       83.00000        0.20159
       33.00000       83.00000        0.22037
       35.00000       83.00000        0.23914
       37.00000       83.00000        0.25783
       39.00000       83.00000        0.27634
       41.00000       83.00000        0.29461
       43.00000       83.00000        0.31257
       45.00000       83.00000        0.33016
       47.00000       83.00000        0.34733
       49.00000       83.00000        0.36402
       51.00000       83.00000        0.38016
       53.00000       83.00000        0.39571
       55.00000       83.00000        0.41061
       57.00000       83.00000        0.42481
       59.00000       83.00000        0.43827
       61.00000       83.00000        0.45093
       63.00000       83.00000        0.46276
       65.00000       83.00000        0.47372
       67.00000       83.00000        0.48379
       69.00000       83.00000        0.49294
       71.00000       83.00000        0.50116
       73.00000       83.00000        0.50843
       75.00000       83.00000        0.51477
       77.00000       83.00000        0.52015
       79.00000       83.00000        0.52460
       81.00000       83.00000        0.52811
       83.00000       83.00000        0.53069
       85.00000       83.00000        0.53233
       87.00000       83.00000        0.53305
       89.00000       83.00000        0.53285
       91.00000       83.00000        0.53172
       93.00000       83.00000        0.52968
       95.00000       83.00000        0.52674
       97.00000       83.00000        0.52291
       99.00000       83.00000        0.51819
      101.00000       83.00000        0.51260
      103.00000       83.00000        0.50616
      105.00000       83.00000        0.49887
      107.00000       83.00000        0.49075
      109.00000       83.00000        0.48183
      111.00000       83.00000        0.47211
      113.00000       83.00000        0.46164
      115.00000       83.00000        0.45043
      117.00000       83.00000        0.43853
      119.00000       83.00000        0.42597
      121.00000       83.00000        0.41279
      123.00000       83.00000        0.39903
      125.00000       83.00000        0.38473
      127.00000       83.00000        0.36993
      129.00000       83.00000        0.35467
      131.00000       83.00000        0.33899
      133.00000       83.00000        0.32294
      135.00000       83.00000        0.30656
      137.00000       83.00000        0.28988
      139.00000       83.00000        0.27297
      141.00000       83.00000        0.25585
      143.00000       83.00000        0.23860
      145.00000       83.00000        0.22127
      147.00000       83.00000        0.20393
      149.00000       83.00000        0.18668
      151.00000       83.00000        0.16959
      153.00000       83.00000        0.15277
      155.00000       83.00000        0.13631
      157.00000       83.00000        0.12029
      159.00000       83.00000        0.10478
      161.00000       83.00000        0.08983
      163.00000       83.00000        0.07547
      165.00000       83.00000        0.06170
      167.00000       83.00000        0.04852
      169.00000       83.00000        0.03593
      171.00000       83.00000        0.02390
      173.00000       83.00000        0.01243
      175.00000       83.00000        0.00153
      177.00000       83.00000       -0.00881
      179.00000       83.00000       -0.01857
      181.00000       83.00000       -0.02777
      183.00000       83.00000       -0.03639
      185.00000       83.00000       -0.04443
      187.00000       83.00000       -0.05182
      189.00000       83.00000       -0.05842
      191.00000       83.00000       -0.06397
      193.00000       83.00000       -0.06806
      195.00000       83.00000       -0.07009
      197.00000       83.00000       -0.06923
      199.00000       83.00000       -0.06445
      201.00000       83.00000       -0.05448
      203.00000       83.00000       -0.03784
      205.00000       83.00000       -0.01284
      207.00000       83.00000        0.02236
      209.00000       83.00000        0.06970
      211.00000       83.00000        0.13113
      213.00000       83.00000        0.20847
      215.00000       83.00000        0.30325
      217.00000       83.00000        0.41652
      219.00000       83.00000        0.54868
      221.00000       83.00000        0.69927
      223.00000       83.00000        0.86691
      225.00000       83.00000        1.04921
      227.00000       83.00000        1.24279
      229.00000       83.00000        1.44342
      231.00000       83.00000        1.64621
      233.00000       83.00000        1.84584
      235.00000       83.00000        2.03690
      237.00000       83.00000        2.21421
      239.00000       83.00000        2.37313
      241.00000       83.00000        2.50987
      243.00000       83.00000        2.62176
      245.00000       83.00000        2.70733
      247.00000       83.00000        2.76646
      249.00000       83.00000        2.80033
      251.00000       83.00000        2.81127
      253.00000       83.00000        2.80264
      255.00000       83.00000        2.77851
      257.00000       83.00000        2.74341
      259.00000       83.00000        2.70205
      261.00000       83.00000        2.65902
      263.00000       83.00000        2.61855
      265.00000       83.00000        2.58428
      267.00000       83.00000        2.55910
      269.00000       83.00000        2.54501
      271.00000       83.00000        2.54302
      273.00000       83.00000        2.55316
      275.00000       83.00000        2.57441
      277.00000       83.00000        2.60481
      279.00000       83.00000        2.64148
      281.00000       83.00000        2.68081
      283.00000       83.00000        2.71858
      285.00000       83.00000        2.75023
      287.00000       83.00000        2.77105
      289.00000       83.00000        2.77654
      291.00000       83.00000        2.76262
      293.00000       83.00000        2.72598
      295.00000       83.00000        2.66427
      297.00000       83.00000        2.57636
      299.00000       83.00000        2.46237
      301.00000       83.00000        2.32376
      303.00000       83.00000        2.16324
      305.00000       83.00000        1.98459
      307.00000       83.00000        1.79246
      309.00000       83.00000        1.59202
      311.00000       83.00000        1.38869
      313.00000       83.00000        1.18779
      315.00000       83.00000        0.99419
      317.00000       83.00000        0.81214
      319.00000       83.00000        0.64498
      321.00000       83.00000        0.49511
      323.00000       83.00000        0.36390
      325.00000       83.00000        0.25177
      327.00000       83.00000        0.15832
      329.00000       83.00000        0.08246
      331.00000       83.00000        0.02265
      333.00000       83.00000       -0.02297
      335.00000       83.00000       -0.05635
      337.00000       83.00000       -0.07946
      339.00000       83.00000       -0.09416
      341.00000       83.00000       -0.10214
      343.00000       83.00000       -0.10489
      345.00000       83.00000       -0.10368
      347.00000       83.00000       -0.09957
      349.00000       83.00000       -0.09338
      351.00000       83.00000       -0.08570
      353.00000       83.00000       -0.07696
      355.00000       83.00000       -0.06741
      357.00000       83.00000       -0.05719
      359.00000       83.00000       -0.04635
        1.00000       81.00000       -0.03665
        3.00000       81.00000       -0.01764
        5.00000       81.00000        0.00254
        7.00000       81.00000        0.02375
        9.00000       81.00000        0.04581
       11.00000       81.00000        0.06855
       13.00000       81.00000        0.09174
       15.00000       81.00000        0.11513
       17.00000       81.00000        0.13844
       19.00000       81.00000        0.16142
       21.00000       81.00000        0.18383
       23.00000       81.00000        0.20551
       25.00000       81.00000        0.22641
       27.00000       81.00000        0.24654
       29.00000       81.00000        0.26603
       31.00000       81.00000        0.28502
       33.00000       81.00000        0.30371
       35.00000       81.00000        0.32229
       37.00000       81.00000        0.34090
       39.00000       81.00000        0.35965
       41.00000       81.00000        0.37856
       43.00000       81.00000        0.39764
       45.00000       81.00000        0.41680
       47.00000       81.00000        0.43595
       49.00000       81.00000        0.45493
       51.00000       81.00000        0.47360
       53.00000       81.00000        0.49178
       55.00000       81.00000        0.50933
       57.00000       81.00000        0.52611
       59.00000       81.00000        0.54200
       61.00000       81.00000        0.55693
       63.00000       81.00000        0.57084
       65.00000       81.00000        0.58368
       67.00000       81.00000        0.59544
       69.00000       81.00000        0.60609
       71.00000       81.00000        0.61563
       73.00000       81.00000        0.62407
       75.00000       81.00000        0.63140
       77.00000       81.00000        0.63764
       79.00000       81.00000        0.64281
       81.00000       81.00000        0.64693
       83.00000       81.00000        0.65003
       85.00000       81.00000        0.65210
       87.00000       81.00000        0.65316
       89.00000       81.00000        0.65323
       91.00000       81.00000        0.65229
       93.00000       81.00000        0.65037
       95.00000       81.00000        0.64746
       97.00000       81.00000        0.64358
       99.00000       81.00000        0.63874
      101.00000       81.00000        0.63295
      103.00000       81.00000        0.62620
      105.00000       81.00000        0.61851
      107.00000       81.00000        0.60989
      109.00000       81.00000        0.60035
      111.00000       81.00000        0.58992
      113.00000       81.00000        0.57861
      115.00000       81.00000        0.56644
      117.00000       81.00000        0.55343
      119.00000       81.00000        0.53959
      121.00000       81.00000        0.52493
      123.00000       81.00000        0.50948
      125.00000       81.00000        0.49324
      127.00000       81.00000        0.47625
      129.00000       81.00000        0.45854
      131.00000       81.00000        0.44014
      133.00000       81.00000        0.42112
      135.00000       81.00000        0.40153
      137.00000       81.00000        0.38144
      139.00000       81.00000        0.36094
      141.00000       81.00000        0.34011
      143.00000       81.00000        0.31905
      145.00000       81.00000        0.29784
      147.00000       81.00000        0.27656
      149.00000       81.00000        0.25527
      151.00000       81.00000        0.23403
      153.00000       81.00000        0.21287
      155.00000       81.00000        0.19186
      157.00000       81.00000        0.17106
      159.00000       81.00000        0.15057
      161.00000       81.00000        0.13052
      163.00000       81.00000        0.11107
      165.00000       81.00000        0.09236
      167.00000       81.00000        0.07452
      169.00000       81.00000        0.05763
      171.00000       81.00000        0.04171
      173.00000       81.00000        0.02674
      175.00000       81.00000        0.01266
      177.00000       81.00000       -0.00059
      179.00000       81.00000       -0.01304
      181.00000       81.00000       -0.02474
      183.00000       81.00000       -0.03571
      185.00000       81.00000       -0.04599
      187.00000       81.00000       -0.05564
      189.00000       81.00000       -0.06472
      191.00000       81.00000       -0.07318
      193.00000       81.00000       -0.08079
      195.00000       81.00000       -0.08703
      197.00000       81.00000       -0.09098
      199.00000       81.00000       -0.09129
      201.00000       81.00000       -0.08607
      203.00000       81.00000       -0.07292
      205.00000       81.00000       -0.04894
      207.00000       81.00000       -0.01076
      209.00000       81.00000        0.04526
      211.00000       81.00000        0.12272
      213.00000       81.00000        0.22474
      215.00000       81.00000        0.35328
      217.00000       81.00000        0.50856
      219.00000       81.00000        0.68834
      221.00000       81.00000        0.88749
      223.00000       81.00000        1.09782
      225.00000       81.00000        1.30811
      227.00000       81.00000        1.50468
      229.00000       81.00000        1.67223
      231.00000       81.00000        1.79507
      233.00000       81.00000        1.85856
      235.00000       81.00000        1.85071
      237.00000       81.00000        1.76356
      239.00000       81.00000        1.59427
