 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lat (mm/yr)
# -----------------------------------------------
      253.00000       85.00000       -0.55902
      255.00000       85.00000       -0.57367
      257.00000       85.00000       -0.58654
      259.00000       85.00000       -0.59757
      261.00000       85.00000       -0.60666
      263.00000       85.00000       -0.61379
      265.00000       85.00000       -0.61894
      267.00000       85.00000       -0.62210
      269.00000       85.00000       -0.62328
      271.00000       85.00000       -0.62252
      273.00000       85.00000       -0.61986
      275.00000       85.00000       -0.61535
      277.00000       85.00000       -0.60905
      279.00000       85.00000       -0.60102
      281.00000       85.00000       -0.59134
      283.00000       85.00000       -0.58006
      285.00000       85.00000       -0.56727
      287.00000       85.00000       -0.55304
      289.00000       85.00000       -0.53746
      291.00000       85.00000       -0.52061
      293.00000       85.00000       -0.50260
      295.00000       85.00000       -0.48355
      297.00000       85.00000       -0.46357
      299.00000       85.00000       -0.44280
      301.00000       85.00000       -0.42140
      303.00000       85.00000       -0.39953
      305.00000       85.00000       -0.37736
      307.00000       85.00000       -0.35507
      309.00000       85.00000       -0.33282
      311.00000       85.00000       -0.31081
      313.00000       85.00000       -0.28917
      315.00000       85.00000       -0.26807
      317.00000       85.00000       -0.24762
      319.00000       85.00000       -0.22793
      321.00000       85.00000       -0.20907
      323.00000       85.00000       -0.19110
      325.00000       85.00000       -0.17405
      327.00000       85.00000       -0.15793
      329.00000       85.00000       -0.14273
      331.00000       85.00000       -0.12844
      333.00000       85.00000       -0.11502
      335.00000       85.00000       -0.10243
      337.00000       85.00000       -0.09063
      339.00000       85.00000       -0.07957
      341.00000       85.00000       -0.06918
      343.00000       85.00000       -0.05941
      345.00000       85.00000       -0.05021
      347.00000       85.00000       -0.04152
      349.00000       85.00000       -0.03330
      351.00000       85.00000       -0.02549
      353.00000       85.00000       -0.01807
      355.00000       85.00000       -0.01101
      357.00000       85.00000       -0.00428
      359.00000       85.00000        0.00212
        1.00000       83.00000        0.01519
        3.00000       83.00000        0.01906
        5.00000       83.00000        0.02279
        7.00000       83.00000        0.02638
        9.00000       83.00000        0.02981
       11.00000       83.00000        0.03306
       13.00000       83.00000        0.03609
       15.00000       83.00000        0.03886
       17.00000       83.00000        0.04133
       19.00000       83.00000        0.04348
       21.00000       83.00000        0.04528
       23.00000       83.00000        0.04675
       25.00000       83.00000        0.04792
       27.00000       83.00000        0.04886
       29.00000       83.00000        0.04962
       31.00000       83.00000        0.05028
       33.00000       83.00000        0.05091
       35.00000       83.00000        0.05157
       37.00000       83.00000        0.05230
       39.00000       83.00000        0.05312
       41.00000       83.00000        0.05404
       43.00000       83.00000        0.05504
       45.00000       83.00000        0.05612
       47.00000       83.00000        0.05723
       49.00000       83.00000        0.05836
       51.00000       83.00000        0.05948
       53.00000       83.00000        0.06057
       55.00000       83.00000        0.06161
       57.00000       83.00000        0.06259
       59.00000       83.00000        0.06350
       61.00000       83.00000        0.06436
       63.00000       83.00000        0.06515
       65.00000       83.00000        0.06589
       67.00000       83.00000        0.06659
       69.00000       83.00000        0.06726
       71.00000       83.00000        0.06793
       73.00000       83.00000        0.06860
       75.00000       83.00000        0.06929
       77.00000       83.00000        0.07002
       79.00000       83.00000        0.07080
       81.00000       83.00000        0.07163
       83.00000       83.00000        0.07252
       85.00000       83.00000        0.07345
       87.00000       83.00000        0.07441
       89.00000       83.00000        0.07537
       91.00000       83.00000        0.07629
       93.00000       83.00000        0.07716
       95.00000       83.00000        0.07793
       97.00000       83.00000        0.07860
       99.00000       83.00000        0.07916
      101.00000       83.00000        0.07961
      103.00000       83.00000        0.07997
      105.00000       83.00000        0.08028
      107.00000       83.00000        0.08058
      109.00000       83.00000        0.08088
      111.00000       83.00000        0.08124
      113.00000       83.00000        0.08166
      115.00000       83.00000        0.08216
      117.00000       83.00000        0.08273
      119.00000       83.00000        0.08336
      121.00000       83.00000        0.08404
      123.00000       83.00000        0.08475
      125.00000       83.00000        0.08546
      127.00000       83.00000        0.08615
      129.00000       83.00000        0.08681
      131.00000       83.00000        0.08741
      133.00000       83.00000        0.08795
      135.00000       83.00000        0.08841
      137.00000       83.00000        0.08879
      139.00000       83.00000        0.08908
      141.00000       83.00000        0.08927
      143.00000       83.00000        0.08936
      145.00000       83.00000        0.08934
      147.00000       83.00000        0.08919
      149.00000       83.00000        0.08890
      151.00000       83.00000        0.08846
      153.00000       83.00000        0.08783
      155.00000       83.00000        0.08700
      157.00000       83.00000        0.08593
      159.00000       83.00000        0.08463
      161.00000       83.00000        0.08306
      163.00000       83.00000        0.08122
      165.00000       83.00000        0.07911
      167.00000       83.00000        0.07673
      169.00000       83.00000        0.07407
      171.00000       83.00000        0.07111
      173.00000       83.00000        0.06783
      175.00000       83.00000        0.06420
      177.00000       83.00000        0.06017
      179.00000       83.00000        0.05570
      181.00000       83.00000        0.05076
      183.00000       83.00000        0.04530
      185.00000       83.00000        0.03929
      187.00000       83.00000        0.03270
      189.00000       83.00000        0.02550
      191.00000       83.00000        0.01765
      193.00000       83.00000        0.00908
      195.00000       83.00000       -0.00028
      197.00000       83.00000       -0.01051
      199.00000       83.00000       -0.02170
      201.00000       83.00000       -0.03396
      203.00000       83.00000       -0.04737
      205.00000       83.00000       -0.06203
      207.00000       83.00000       -0.07804
      209.00000       83.00000       -0.09550
      211.00000       83.00000       -0.11454
      213.00000       83.00000       -0.13527
      215.00000       83.00000       -0.15778
      217.00000       83.00000       -0.18217
      219.00000       83.00000       -0.20844
      221.00000       83.00000       -0.23656
      223.00000       83.00000       -0.26639
      225.00000       83.00000       -0.29768
      227.00000       83.00000       -0.33010
      229.00000       83.00000       -0.36324
      231.00000       83.00000       -0.39659
      233.00000       83.00000       -0.42959
      235.00000       83.00000       -0.46166
      237.00000       83.00000       -0.49221
      239.00000       83.00000       -0.52067
      241.00000       83.00000       -0.54655
      243.00000       83.00000       -0.56942
      245.00000       83.00000       -0.58896
