 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lat (mm/yr)
# -----------------------------------------------
       29.00000       83.00000        0.04648
       31.00000       83.00000        0.04821
       33.00000       83.00000        0.04994
       35.00000       83.00000        0.05169
       37.00000       83.00000        0.05346
       39.00000       83.00000        0.05525
       41.00000       83.00000        0.05706
       43.00000       83.00000        0.05886
       45.00000       83.00000        0.06067
       47.00000       83.00000        0.06245
       49.00000       83.00000        0.06420
       51.00000       83.00000        0.06591
       53.00000       83.00000        0.06758
       55.00000       83.00000        0.06919
       57.00000       83.00000        0.07074
       59.00000       83.00000        0.07224
       61.00000       83.00000        0.07368
       63.00000       83.00000        0.07507
       65.00000       83.00000        0.07641
       67.00000       83.00000        0.07770
       69.00000       83.00000        0.07896
       71.00000       83.00000        0.08018
       73.00000       83.00000        0.08136
       75.00000       83.00000        0.08251
       77.00000       83.00000        0.08363
       79.00000       83.00000        0.08472
       81.00000       83.00000        0.08577
       83.00000       83.00000        0.08680
       85.00000       83.00000        0.08779
       87.00000       83.00000        0.08876
       89.00000       83.00000        0.08971
       91.00000       83.00000        0.09063
       93.00000       83.00000        0.09153
       95.00000       83.00000        0.09241
       97.00000       83.00000        0.09327
       99.00000       83.00000        0.09410
      101.00000       83.00000        0.09491
      103.00000       83.00000        0.09569
      105.00000       83.00000        0.09645
      107.00000       83.00000        0.09719
      109.00000       83.00000        0.09790
      111.00000       83.00000        0.09858
      113.00000       83.00000        0.09923
      115.00000       83.00000        0.09984
      117.00000       83.00000        0.10041
      119.00000       83.00000        0.10093
      121.00000       83.00000        0.10139
      123.00000       83.00000        0.10180
      125.00000       83.00000        0.10213
      127.00000       83.00000        0.10240
      129.00000       83.00000        0.10259
      131.00000       83.00000        0.10271
      133.00000       83.00000        0.10274
      135.00000       83.00000        0.10269
      137.00000       83.00000        0.10256
      139.00000       83.00000        0.10234
      141.00000       83.00000        0.10203
      143.00000       83.00000        0.10164
      145.00000       83.00000        0.10114
      147.00000       83.00000        0.10053
      149.00000       83.00000        0.09980
      151.00000       83.00000        0.09892
      153.00000       83.00000        0.09787
      155.00000       83.00000        0.09662
      157.00000       83.00000        0.09517
      159.00000       83.00000        0.09349
      161.00000       83.00000        0.09156
      163.00000       83.00000        0.08938
      165.00000       83.00000        0.08696
      167.00000       83.00000        0.08428
      169.00000       83.00000        0.08134
      171.00000       83.00000        0.07812
      173.00000       83.00000        0.07462
      175.00000       83.00000        0.07078
      177.00000       83.00000        0.06658
      179.00000       83.00000        0.06197
      181.00000       83.00000        0.05691
      183.00000       83.00000        0.05136
      185.00000       83.00000        0.04529
      187.00000       83.00000        0.03867
      189.00000       83.00000        0.03145
      191.00000       83.00000        0.02361
      193.00000       83.00000        0.01507
      195.00000       83.00000        0.00578
      197.00000       83.00000       -0.00437
      199.00000       83.00000       -0.01546
      201.00000       83.00000       -0.02759
      203.00000       83.00000       -0.04086
      205.00000       83.00000       -0.05535
      207.00000       83.00000       -0.07117
      209.00000       83.00000       -0.08843
      211.00000       83.00000       -0.10723
      213.00000       83.00000       -0.12769
      215.00000       83.00000       -0.14993
      217.00000       83.00000       -0.17400
      219.00000       83.00000       -0.19994
      221.00000       83.00000       -0.22769
      223.00000       83.00000       -0.25713
      225.00000       83.00000       -0.28801
      227.00000       83.00000       -0.32001
      229.00000       83.00000       -0.35269
      231.00000       83.00000       -0.38558
      233.00000       83.00000       -0.41810
      235.00000       83.00000       -0.44971
      237.00000       83.00000       -0.47981
      239.00000       83.00000       -0.50786
      241.00000       83.00000       -0.53340
      243.00000       83.00000       -0.55601
      245.00000       83.00000       -0.57543
      247.00000       83.00000       -0.59152
      249.00000       83.00000       -0.60428
      251.00000       83.00000       -0.61385
      253.00000       83.00000       -0.62051
      255.00000       83.00000       -0.62464
      257.00000       83.00000       -0.62671
      259.00000       83.00000       -0.62722
      261.00000       83.00000       -0.62670
      263.00000       83.00000       -0.62563
      265.00000       83.00000       -0.62445
      267.00000       83.00000       -0.62351
      269.00000       83.00000       -0.62306
      271.00000       83.00000       -0.62321
      273.00000       83.00000       -0.62399
      275.00000       83.00000       -0.62525
      277.00000       83.00000       -0.62676
      279.00000       83.00000       -0.62818
      281.00000       83.00000       -0.62906
      283.00000       83.00000       -0.62893
      285.00000       83.00000       -0.62726
      287.00000       83.00000       -0.62355
      289.00000       83.00000       -0.61733
      291.00000       83.00000       -0.60824
      293.00000       83.00000       -0.59598
      295.00000       83.00000       -0.58042
      297.00000       83.00000       -0.56157
      299.00000       83.00000       -0.53956
      301.00000       83.00000       -0.51468
      303.00000       83.00000       -0.48732
      305.00000       83.00000       -0.45796
      307.00000       83.00000       -0.42715
      309.00000       83.00000       -0.39546
      311.00000       83.00000       -0.36346
      313.00000       83.00000       -0.33171
      315.00000       83.00000       -0.30071
      317.00000       83.00000       -0.27087
      319.00000       83.00000       -0.24253
      321.00000       83.00000       -0.21593
      323.00000       83.00000       -0.19120
      325.00000       83.00000       -0.16839
      327.00000       83.00000       -0.14748
      329.00000       83.00000       -0.12838
      331.00000       83.00000       -0.11099
      333.00000       83.00000       -0.09519
      335.00000       83.00000       -0.08087
      337.00000       83.00000       -0.06792
      339.00000       83.00000       -0.05623
      341.00000       83.00000       -0.04572
      343.00000       83.00000       -0.03627
      345.00000       83.00000       -0.02779
      347.00000       83.00000       -0.02018
      349.00000       83.00000       -0.01333
      351.00000       83.00000       -0.00717
      353.00000       83.00000       -0.00163
      355.00000       83.00000        0.00336
      357.00000       83.00000        0.00784
      359.00000       83.00000        0.01185
        1.00000       81.00000        0.01209
        3.00000       81.00000        0.01248
        5.00000       81.00000        0.01268
        7.00000       81.00000        0.01276
        9.00000       81.00000        0.01277
       11.00000       81.00000        0.01275
       13.00000       81.00000        0.01274
       15.00000       81.00000        0.01278
       17.00000       81.00000        0.01292
       19.00000       81.00000        0.01321
       21.00000       81.00000        0.01372
       23.00000       81.00000        0.01448
       25.00000       81.00000        0.01550
       27.00000       81.00000        0.01679
       29.00000       81.00000        0.01832
       31.00000       81.00000        0.02005
       33.00000       81.00000        0.02192
       35.00000       81.00000        0.02391
       37.00000       81.00000        0.02595
       39.00000       81.00000        0.02802
       41.00000       81.00000        0.03010
       43.00000       81.00000        0.03216
       45.00000       81.00000        0.03419
       47.00000       81.00000        0.03618
       49.00000       81.00000        0.03813
       51.00000       81.00000        0.04003
       53.00000       81.00000        0.04187
       55.00000       81.00000        0.04365
       57.00000       81.00000        0.04536
       59.00000       81.00000        0.04700
       61.00000       81.00000        0.04857
       63.00000       81.00000        0.05005
       65.00000       81.00000        0.05145
       67.00000       81.00000        0.05277
       69.00000       81.00000        0.05401
       71.00000       81.00000        0.05519
       73.00000       81.00000        0.05631
       75.00000       81.00000        0.05738
       77.00000       81.00000        0.05841
       79.00000       81.00000        0.05940
       81.00000       81.00000        0.06036
       83.00000       81.00000        0.06129
       85.00000       81.00000        0.06219
       87.00000       81.00000        0.06308
       89.00000       81.00000        0.06395
       91.00000       81.00000        0.06481
       93.00000       81.00000        0.06567
       95.00000       81.00000        0.06651
       97.00000       81.00000        0.06735
       99.00000       81.00000        0.06819
      101.00000       81.00000        0.06902
      103.00000       81.00000        0.06985
      105.00000       81.00000        0.07068
      107.00000       81.00000        0.07150
      109.00000       81.00000        0.07232
      111.00000       81.00000        0.07313
      113.00000       81.00000        0.07394
      115.00000       81.00000        0.07473
      117.00000       81.00000        0.07551
      119.00000       81.00000        0.07628
      121.00000       81.00000        0.07705
      123.00000       81.00000        0.07781
      125.00000       81.00000        0.07857
      127.00000       81.00000        0.07932
      129.00000       81.00000        0.08007
      131.00000       81.00000        0.08082
      133.00000       81.00000        0.08155
      135.00000       81.00000        0.08225
      137.00000       81.00000        0.08292
      139.00000       81.00000        0.08353
      141.00000       81.00000        0.08407
      143.00000       81.00000        0.08452
      145.00000       81.00000        0.08485
      147.00000       81.00000        0.08507
      149.00000       81.00000        0.08516
      151.00000       81.00000        0.08514
      153.00000       81.00000        0.08502
      155.00000       81.00000        0.08478
      157.00000       81.00000        0.08445
      159.00000       81.00000        0.08399
      161.00000       81.00000        0.08339
      163.00000       81.00000        0.08261
      165.00000       81.00000        0.08159
      167.00000       81.00000        0.08031
      169.00000       81.00000        0.07875
      171.00000       81.00000        0.07689
      173.00000       81.00000        0.07474
      175.00000       81.00000        0.07231
      177.00000       81.00000        0.06959
      179.00000       81.00000        0.06655
      181.00000       81.00000        0.06313
      183.00000       81.00000        0.05928
      185.00000       81.00000        0.05492
      187.00000       81.00000        0.05000
      189.00000       81.00000        0.04446
      191.00000       81.00000        0.03827
      193.00000       81.00000        0.03136
      195.00000       81.00000        0.02364
      197.00000       81.00000        0.01499
      199.00000       81.00000        0.00526
      201.00000       81.00000       -0.00572
      203.00000       81.00000       -0.01814
      205.00000       81.00000       -0.03219
      207.00000       81.00000       -0.04808
      209.00000       81.00000       -0.06607
      211.00000       81.00000       -0.08644
      213.00000       81.00000       -0.10943
      215.00000       81.00000       -0.13525
      217.00000       81.00000       -0.16392
      219.00000       81.00000       -0.19527
