 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_lon (mm/yr)
# -----------------------------------------------
      221.00000       87.00000        0.28182
      223.00000       87.00000        0.27909
      225.00000       87.00000        0.27570
      227.00000       87.00000        0.27161
      229.00000       87.00000        0.26680
      231.00000       87.00000        0.26126
      233.00000       87.00000        0.25499
      235.00000       87.00000        0.24796
      237.00000       87.00000        0.24018
      239.00000       87.00000        0.23164
      241.00000       87.00000        0.22236
      243.00000       87.00000        0.21234
      245.00000       87.00000        0.20161
      247.00000       87.00000        0.19017
      249.00000       87.00000        0.17807
      251.00000       87.00000        0.16533
      253.00000       87.00000        0.15200
      255.00000       87.00000        0.13811
      257.00000       87.00000        0.12371
      259.00000       87.00000        0.10887
      261.00000       87.00000        0.09363
      263.00000       87.00000        0.07806
      265.00000       87.00000        0.06223
      267.00000       87.00000        0.04619
      269.00000       87.00000        0.03003
      271.00000       87.00000        0.01380
      273.00000       87.00000       -0.00242
      275.00000       87.00000       -0.01857
      277.00000       87.00000       -0.03457
      279.00000       87.00000       -0.05036
      281.00000       87.00000       -0.06588
      283.00000       87.00000       -0.08108
      285.00000       87.00000       -0.09588
      287.00000       87.00000       -0.11025
      289.00000       87.00000       -0.12414
      291.00000       87.00000       -0.13749
      293.00000       87.00000       -0.15028
      295.00000       87.00000       -0.16247
      297.00000       87.00000       -0.17402
      299.00000       87.00000       -0.18492
      301.00000       87.00000       -0.19515
      303.00000       87.00000       -0.20469
      305.00000       87.00000       -0.21353
      307.00000       87.00000       -0.22166
      309.00000       87.00000       -0.22909
      311.00000       87.00000       -0.23581
      313.00000       87.00000       -0.24183
      315.00000       87.00000       -0.24717
      317.00000       87.00000       -0.25183
      319.00000       87.00000       -0.25584
      321.00000       87.00000       -0.25922
      323.00000       87.00000       -0.26199
      325.00000       87.00000       -0.26417
      327.00000       87.00000       -0.26581
      329.00000       87.00000       -0.26692
      331.00000       87.00000       -0.26754
      333.00000       87.00000       -0.26770
      335.00000       87.00000       -0.26744
      337.00000       87.00000       -0.26678
      339.00000       87.00000       -0.26575
      341.00000       87.00000       -0.26438
      343.00000       87.00000       -0.26269
      345.00000       87.00000       -0.26072
      347.00000       87.00000       -0.25847
      349.00000       87.00000       -0.25598
      351.00000       87.00000       -0.25325
      353.00000       87.00000       -0.25030
      355.00000       87.00000       -0.24714
      357.00000       87.00000       -0.24378
      359.00000       87.00000       -0.24024
        1.00000       85.00000       -0.22066
        3.00000       85.00000       -0.21493
        5.00000       85.00000       -0.20919
        7.00000       85.00000       -0.20345
        9.00000       85.00000       -0.19771
       11.00000       85.00000       -0.19202
       13.00000       85.00000       -0.18639
       15.00000       85.00000       -0.18083
       17.00000       85.00000       -0.17537
       19.00000       85.00000       -0.17002
       21.00000       85.00000       -0.16477
       23.00000       85.00000       -0.15963
       25.00000       85.00000       -0.15459
       27.00000       85.00000       -0.14965
       29.00000       85.00000       -0.14480
       31.00000       85.00000       -0.14003
       33.00000       85.00000       -0.13533
       35.00000       85.00000       -0.13071
       37.00000       85.00000       -0.12615
       39.00000       85.00000       -0.12165
       41.00000       85.00000       -0.11720
       43.00000       85.00000       -0.11281
       45.00000       85.00000       -0.10847
       47.00000       85.00000       -0.10417
       49.00000       85.00000       -0.09992
       51.00000       85.00000       -0.09572
       53.00000       85.00000       -0.09156
       55.00000       85.00000       -0.08744
       57.00000       85.00000       -0.08336
       59.00000       85.00000       -0.07931
       61.00000       85.00000       -0.07530
       63.00000       85.00000       -0.07131
       65.00000       85.00000       -0.06736
       67.00000       85.00000       -0.06344
       69.00000       85.00000       -0.05955
       71.00000       85.00000       -0.05569
       73.00000       85.00000       -0.05186
       75.00000       85.00000       -0.04805
       77.00000       85.00000       -0.04426
       79.00000       85.00000       -0.04048
       81.00000       85.00000       -0.03672
       83.00000       85.00000       -0.03296
       85.00000       85.00000       -0.02920
       87.00000       85.00000       -0.02543
       89.00000       85.00000       -0.02164
       91.00000       85.00000       -0.01783
       93.00000       85.00000       -0.01400
       95.00000       85.00000       -0.01015
       97.00000       85.00000       -0.00626
       99.00000       85.00000       -0.00235
      101.00000       85.00000        0.00160
      103.00000       85.00000        0.00557
      105.00000       85.00000        0.00958
      107.00000       85.00000        0.01363
      109.00000       85.00000        0.01772
      111.00000       85.00000        0.02187
      113.00000       85.00000        0.02607
