 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_rad (mm/yr)
# -----------------------------------------------
      311.00000       85.00000       -0.63127
      313.00000       85.00000       -0.58499
      315.00000       85.00000       -0.53982
      317.00000       85.00000       -0.49600
      319.00000       85.00000       -0.45374
      321.00000       85.00000       -0.41322
      323.00000       85.00000       -0.37458
      325.00000       85.00000       -0.33791
      327.00000       85.00000       -0.30327
      329.00000       85.00000       -0.27070
      331.00000       85.00000       -0.24019
      333.00000       85.00000       -0.21171
      335.00000       85.00000       -0.18519
      337.00000       85.00000       -0.16056
      339.00000       85.00000       -0.13770
      341.00000       85.00000       -0.11649
      343.00000       85.00000       -0.09679
      345.00000       85.00000       -0.07845
      347.00000       85.00000       -0.06135
      349.00000       85.00000       -0.04533
      351.00000       85.00000       -0.03029
      353.00000       85.00000       -0.01614
      355.00000       85.00000       -0.00279
      357.00000       85.00000        0.00980
      359.00000       85.00000        0.02166
        1.00000       83.00000        0.02614
        3.00000       83.00000        0.03663
        5.00000       83.00000        0.04662
        7.00000       83.00000        0.05605
        9.00000       83.00000        0.06488
       11.00000       83.00000        0.07310
       13.00000       83.00000        0.08065
       15.00000       83.00000        0.08751
       17.00000       83.00000        0.09361
       19.00000       83.00000        0.09891
       21.00000       83.00000        0.10339
       23.00000       83.00000        0.10705
       25.00000       83.00000        0.10991
       27.00000       83.00000        0.11207
       29.00000       83.00000        0.11363
       31.00000       83.00000        0.11472
       33.00000       83.00000        0.11549
       35.00000       83.00000        0.11606
       37.00000       83.00000        0.11654
       39.00000       83.00000        0.11700
       41.00000       83.00000        0.11751
       43.00000       83.00000        0.11807
       45.00000       83.00000        0.11867
       47.00000       83.00000        0.11930
       49.00000       83.00000        0.11991
       51.00000       83.00000        0.12047
       53.00000       83.00000        0.12094
       55.00000       83.00000        0.12130
       57.00000       83.00000        0.12152
       59.00000       83.00000        0.12160
       61.00000       83.00000        0.12154
       63.00000       83.00000        0.12133
       65.00000       83.00000        0.12101
       67.00000       83.00000        0.12059
       69.00000       83.00000        0.12010
       71.00000       83.00000        0.11959
       73.00000       83.00000        0.11909
       75.00000       83.00000        0.11864
       77.00000       83.00000        0.11829
       79.00000       83.00000        0.11806
       81.00000       83.00000        0.11797
       83.00000       83.00000        0.11802
       85.00000       83.00000        0.11820
       87.00000       83.00000        0.11846
       89.00000       83.00000        0.11875
       91.00000       83.00000        0.11899
       93.00000       83.00000        0.11913
       95.00000       83.00000        0.11911
       97.00000       83.00000        0.11889
       99.00000       83.00000        0.11847
      101.00000       83.00000        0.11788
      103.00000       83.00000        0.11718
      105.00000       83.00000        0.11645
      107.00000       83.00000        0.11578
      109.00000       83.00000        0.11527
      111.00000       83.00000        0.11498
      113.00000       83.00000        0.11496
      115.00000       83.00000        0.11526
      117.00000       83.00000        0.11587
      119.00000       83.00000        0.11677
      121.00000       83.00000        0.11794
      123.00000       83.00000        0.11934
      125.00000       83.00000        0.12093
      127.00000       83.00000        0.12268
      129.00000       83.00000        0.12455
      131.00000       83.00000        0.12652
      133.00000       83.00000        0.12856
