 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_geo (mm/yr)
# -----------------------------------------------
      263.00000       87.00000       -0.02584
      265.00000       87.00000       -0.02601
      267.00000       87.00000       -0.02613
      269.00000       87.00000       -0.02619
      271.00000       87.00000       -0.02620
      273.00000       87.00000       -0.02615
      275.00000       87.00000       -0.02606
      277.00000       87.00000       -0.02590
      279.00000       87.00000       -0.02570
      281.00000       87.00000       -0.02545
      283.00000       87.00000       -0.02514
      285.00000       87.00000       -0.02479
      287.00000       87.00000       -0.02439
      289.00000       87.00000       -0.02394
      291.00000       87.00000       -0.02345
      293.00000       87.00000       -0.02291
      295.00000       87.00000       -0.02233
      297.00000       87.00000       -0.02172
      299.00000       87.00000       -0.02106
      301.00000       87.00000       -0.02037
      303.00000       87.00000       -0.01965
      305.00000       87.00000       -0.01890
      307.00000       87.00000       -0.01812
      309.00000       87.00000       -0.01732
      311.00000       87.00000       -0.01649
      313.00000       87.00000       -0.01564
      315.00000       87.00000       -0.01478
      317.00000       87.00000       -0.01391
      319.00000       87.00000       -0.01302
      321.00000       87.00000       -0.01212
      323.00000       87.00000       -0.01122
      325.00000       87.00000       -0.01031
      327.00000       87.00000       -0.00941
      329.00000       87.00000       -0.00850
      331.00000       87.00000       -0.00760
      333.00000       87.00000       -0.00670
      335.00000       87.00000       -0.00581
      337.00000       87.00000       -0.00493
      339.00000       87.00000       -0.00406
      341.00000       87.00000       -0.00320
      343.00000       87.00000       -0.00235
      345.00000       87.00000       -0.00152
      347.00000       87.00000       -0.00071
      349.00000       87.00000        0.00009
      351.00000       87.00000        0.00087
      353.00000       87.00000        0.00163
      355.00000       87.00000        0.00237
      357.00000       87.00000        0.00309
      359.00000       87.00000        0.00380
        1.00000       85.00000        0.00504
        3.00000       85.00000        0.00599
        5.00000       85.00000        0.00689
        7.00000       85.00000        0.00774
        9.00000       85.00000        0.00855
       11.00000       85.00000        0.00931
       13.00000       85.00000        0.01004
       15.00000       85.00000        0.01072
       17.00000       85.00000        0.01137
       19.00000       85.00000        0.01198
       21.00000       85.00000        0.01256
       23.00000       85.00000        0.01311
       25.00000       85.00000        0.01364
       27.00000       85.00000        0.01413
       29.00000       85.00000        0.01460
       31.00000       85.00000        0.01505
       33.00000       85.00000        0.01548
       35.00000       85.00000        0.01588
       37.00000       85.00000        0.01627
       39.00000       85.00000        0.01663
       41.00000       85.00000        0.01698
       43.00000       85.00000        0.01731
       45.00000       85.00000        0.01763
       47.00000       85.00000        0.01793
       49.00000       85.00000        0.01822
       51.00000       85.00000        0.01849
       53.00000       85.00000        0.01875
       55.00000       85.00000        0.01900
       57.00000       85.00000        0.01923
       59.00000       85.00000        0.01945
       61.00000       85.00000        0.01966
       63.00000       85.00000        0.01986
