 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
       47.00000       85.00000       -0.12080
       49.00000       85.00000       -0.12070
       51.00000       85.00000       -0.12059
       53.00000       85.00000       -0.12047
       55.00000       85.00000       -0.12034
       57.00000       85.00000       -0.12020
       59.00000       85.00000       -0.12006
       61.00000       85.00000       -0.11992
       63.00000       85.00000       -0.11977
       65.00000       85.00000       -0.11963
       67.00000       85.00000       -0.11948
       69.00000       85.00000       -0.11934
       71.00000       85.00000       -0.11920
       73.00000       85.00000       -0.11906
       75.00000       85.00000       -0.11894
       77.00000       85.00000       -0.11881
       79.00000       85.00000       -0.11870
       81.00000       85.00000       -0.11859
       83.00000       85.00000       -0.11849
       85.00000       85.00000       -0.11840
       87.00000       85.00000       -0.11832
       89.00000       85.00000       -0.11825
       91.00000       85.00000       -0.11820
       93.00000       85.00000       -0.11815
       95.00000       85.00000       -0.11812
       97.00000       85.00000       -0.11810
       99.00000       85.00000       -0.11809
      101.00000       85.00000       -0.11810
      103.00000       85.00000       -0.11812
      105.00000       85.00000       -0.11815
      107.00000       85.00000       -0.11819
      109.00000       85.00000       -0.11825
      111.00000       85.00000       -0.11831
      113.00000       85.00000       -0.11839
      115.00000       85.00000       -0.11848
      117.00000       85.00000       -0.11857
      119.00000       85.00000       -0.11867
      121.00000       85.00000       -0.11878
      123.00000       85.00000       -0.11889
      125.00000       85.00000       -0.11900
      127.00000       85.00000       -0.11911
      129.00000       85.00000       -0.11922
      131.00000       85.00000       -0.11932
      133.00000       85.00000       -0.11941
      135.00000       85.00000       -0.11949
      137.00000       85.00000       -0.11956
      139.00000       85.00000       -0.11960
      141.00000       85.00000       -0.11962
      143.00000       85.00000       -0.11961
      145.00000       85.00000       -0.11957
      147.00000       85.00000       -0.11948
      149.00000       85.00000       -0.11935
      151.00000       85.00000       -0.11917
      153.00000       85.00000       -0.11892
      155.00000       85.00000       -0.11861
      157.00000       85.00000       -0.11822
      159.00000       85.00000       -0.11774
      161.00000       85.00000       -0.11716
      163.00000       85.00000       -0.11646
      165.00000       85.00000       -0.11565
      167.00000       85.00000       -0.11469
      169.00000       85.00000       -0.11357
      171.00000       85.00000       -0.11228
      173.00000       85.00000       -0.11079
      175.00000       85.00000       -0.10908
      177.00000       85.00000       -0.10714
      179.00000       85.00000       -0.10494
      181.00000       85.00000       -0.10244
      183.00000       85.00000       -0.09963
      185.00000       85.00000       -0.09646
      187.00000       85.00000       -0.09292
      189.00000       85.00000       -0.08896
      191.00000       85.00000       -0.08454
      193.00000       85.00000       -0.07964
      195.00000       85.00000       -0.07421
      197.00000       85.00000       -0.06823
      199.00000       85.00000       -0.06164
      201.00000       85.00000       -0.05443
      203.00000       85.00000       -0.04655
      205.00000       85.00000       -0.03800
      207.00000       85.00000       -0.02875
      209.00000       85.00000       -0.01878
      211.00000       85.00000       -0.00810
      213.00000       85.00000        0.00328
      215.00000       85.00000        0.01535
      217.00000       85.00000        0.02807
      219.00000       85.00000        0.04141
      221.00000       85.00000        0.05532
      223.00000       85.00000        0.06972
      225.00000       85.00000        0.08453
      227.00000       85.00000        0.09968
      229.00000       85.00000        0.11507
      231.00000       85.00000        0.13058
      233.00000       85.00000        0.14611
      235.00000       85.00000        0.16154
      237.00000       85.00000        0.17676
      239.00000       85.00000        0.19166
      241.00000       85.00000        0.20611
      243.00000       85.00000        0.22002
      245.00000       85.00000        0.23328
      247.00000       85.00000        0.24580
      249.00000       85.00000        0.25750
      251.00000       85.00000        0.26831
      253.00000       85.00000        0.27817
      255.00000       85.00000        0.28702
      257.00000       85.00000        0.29482
      259.00000       85.00000        0.30154
      261.00000       85.00000        0.30716
      263.00000       85.00000        0.31164
      265.00000       85.00000        0.31499
      267.00000       85.00000        0.31719
      269.00000       85.00000        0.31823
      271.00000       85.00000        0.31811
      273.00000       85.00000        0.31684
      275.00000       85.00000        0.31441
      277.00000       85.00000        0.31084
      279.00000       85.00000        0.30612
      281.00000       85.00000        0.30028
      283.00000       85.00000        0.29334
      285.00000       85.00000        0.28532
      287.00000       85.00000        0.27625
      289.00000       85.00000        0.26619
      291.00000       85.00000        0.25517
      293.00000       85.00000        0.24327
      295.00000       85.00000        0.23056
      297.00000       85.00000        0.21712
      299.00000       85.00000        0.20304
      301.00000       85.00000        0.18842
      303.00000       85.00000        0.17336
      305.00000       85.00000        0.15800
      307.00000       85.00000        0.14242
      309.00000       85.00000        0.12677
      311.00000       85.00000        0.11114
      313.00000       85.00000        0.09565
      315.00000       85.00000        0.08041
      317.00000       85.00000        0.06551
      319.00000       85.00000        0.05105
      321.00000       85.00000        0.03709
      323.00000       85.00000        0.02371
      325.00000       85.00000        0.01096
      327.00000       85.00000       -0.00112
      329.00000       85.00000       -0.01250
      331.00000       85.00000       -0.02316
      333.00000       85.00000       -0.03310
      335.00000       85.00000       -0.04231
      337.00000       85.00000       -0.05080
      339.00000       85.00000       -0.05861
      341.00000       85.00000       -0.06574
      343.00000       85.00000       -0.07224
      345.00000       85.00000       -0.07812
      347.00000       85.00000       -0.08344
      349.00000       85.00000       -0.08822
      351.00000       85.00000       -0.09251
      353.00000       85.00000       -0.09634
      355.00000       85.00000       -0.09975
      357.00000       85.00000       -0.10278
      359.00000       85.00000       -0.10545
        1.00000       83.00000       -0.10823
        3.00000       83.00000       -0.10984
        5.00000       83.00000       -0.11110
        7.00000       83.00000       -0.11205
        9.00000       83.00000       -0.11276
       11.00000       83.00000       -0.11326
       13.00000       83.00000       -0.11359
       15.00000       83.00000       -0.11379
       17.00000       83.00000       -0.11388
       19.00000       83.00000       -0.11390
       21.00000       83.00000       -0.11385
       23.00000       83.00000       -0.11376
       25.00000       83.00000       -0.11364
       27.00000       83.00000       -0.11349
       29.00000       83.00000       -0.11334
       31.00000       83.00000       -0.11318
       33.00000       83.00000       -0.11302
       35.00000       83.00000       -0.11285
       37.00000       83.00000       -0.11269
       39.00000       83.00000       -0.11254
       41.00000       83.00000       -0.11238
       43.00000       83.00000       -0.11223
       45.00000       83.00000       -0.11208
       47.00000       83.00000       -0.11192
       49.00000       83.00000       -0.11177
       51.00000       83.00000       -0.11161
       53.00000       83.00000       -0.11145
       55.00000       83.00000       -0.11128
       57.00000       83.00000       -0.11111
       59.00000       83.00000       -0.11094
       61.00000       83.00000       -0.11076
       63.00000       83.00000       -0.11058
       65.00000       83.00000       -0.11040
       67.00000       83.00000       -0.11022
       69.00000       83.00000       -0.11004
       71.00000       83.00000       -0.10986
       73.00000       83.00000       -0.10968
       75.00000       83.00000       -0.10951
       77.00000       83.00000       -0.10935
       79.00000       83.00000       -0.10920
       81.00000       83.00000       -0.10905
       83.00000       83.00000       -0.10892
       85.00000       83.00000       -0.10880
       87.00000       83.00000       -0.10870
       89.00000       83.00000       -0.10862
       91.00000       83.00000       -0.10856
       93.00000       83.00000       -0.10851
       95.00000       83.00000       -0.10849
       97.00000       83.00000       -0.10849
       99.00000       83.00000       -0.10852
      101.00000       83.00000       -0.10857
      103.00000       83.00000       -0.10865
      105.00000       83.00000       -0.10876
      107.00000       83.00000       -0.10889
      109.00000       83.00000       -0.10905
      111.00000       83.00000       -0.10924
      113.00000       83.00000       -0.10945
      115.00000       83.00000       -0.10970
      117.00000       83.00000       -0.10997
      119.00000       83.00000       -0.11026
      121.00000       83.00000       -0.11059
      123.00000       83.00000       -0.11093
      125.00000       83.00000       -0.11130
      127.00000       83.00000       -0.11168
      129.00000       83.00000       -0.11209
      131.00000       83.00000       -0.11251
      133.00000       83.00000       -0.11294
      135.00000       83.00000       -0.11338
      137.00000       83.00000       -0.11383
      139.00000       83.00000       -0.11428
      141.00000       83.00000       -0.11472
      143.00000       83.00000       -0.11515
      145.00000       83.00000       -0.11557
      147.00000       83.00000       -0.11596
      149.00000       83.00000       -0.11632
      151.00000       83.00000       -0.11664
      153.00000       83.00000       -0.11690
      155.00000       83.00000       -0.11711
      157.00000       83.00000       -0.11724
      159.00000       83.00000       -0.11729
      161.00000       83.00000       -0.11724
      163.00000       83.00000       -0.11707
      165.00000       83.00000       -0.11676
      167.00000       83.00000       -0.11630
